дѣлъ,-p---ng--i
оца,-s---mg--i
моего,1s---og--i
не,---------n
емлѣте,2ppma----i
мі,1s---qd--i
вѣръі,-s---fg--i
аште,---------n
лі,---------n
творѭ,1spia----i
аште,---------n
і,---------n
мьнѣ,1s---ql--i
вѣръі,-s---fg--i
не,---------n
емлете,2ppia----i
дѣломъ,-p---nd--i
моімъ,1p---qd--i
вѣрѫ,-s---fa--i
імѣте,2ppma----i
да,---------n
разоумѣете,2ppia----i
і,---------n
вѣроуете,2ppia----i
ѣко,---------n
въ,---------n
мьнѣ,1s---ql--i
оць,-s---mn--i
і,---------n
азъ,1s---qn--i
въ,---------n
оці,-p---mn--i
іскахѫ,3piia----i
же,---------n
его,3s---mg--i
пакъі,---------n
ѧті,--pna----i
ізіде,3saia----i
отъ,---------n
рѫкъі,-p---fa--i
іхъ,3p---pg--i
і,---------n
іде,3saia----i
пакъі,---------n
на,---------n
онъ,-s---mn--i
полъ,-s---ma--i
іордана,-s---mg--i
на,---------n
мѣсто,-s---na--i
ідеже,---------n
бѣ,3siia----i
іоанъ,-s---mn--i
прѣжде,---------n
крьстѧ,-sppamn-si
і,---------n
прѣбъіс,-s---mn--i
тоу,---------n
і,---------n
мнозі,-p---mnpsi
прідѫ,3paia----i
къ,---------n
немоу,3s---md--i
і,---------n
глаахѫ,3piia----i
ѣко,---------n
іоанъ,-s---mn--i
оубо,---------n
знаменіѣ,-s---ng--i
не,---------n
сътворі,3saia----i
ні,---------n
едьного,-------p-i
же,---------n
вьсѣ,-p---na--i
еліко,---------n
рече,3saia----i
іоанъ,-s---mn--i
о,---------n
семь,-s---ml--i
істіна,-s---fn--i
бѣ,3siia----i
і,---------n
мнозі,-p---mnpsi
вѣровашѧ,3paia----i
вь,---------n
него,3s---mg--i
тоу,---------n
бѣ,3siia----i
же,---------n
етеръ,-s---mn--i
болѧ,-sppamn-si
лазарь,-s---mn--i
отъ,---------n
вітаніѧ,-s---fg--i
градьца,-s---mn--i
маріна,-d---mn--i
і,---------n
марътъі,-s---ma--i
сестръі,-s---fg--i
еѧ,3s---fg--i
бѣ,3siia----i
же,---------n
маріѣ,-s---fn--i
помазавъшіѣ,-supafn-wi
гѣ,-s---mg--i
муромь,-s---ni--i
і,---------n
отьръші,-supafn-si
нозѣ,-d---fa--i
его,3s---mg--i
власъі,-p---mi--i
своімі,3p---qi--i
еѧже,-s---fg--i
братъ,-s---mn--i
лазарь,-s---mn--i
болѣаше,3siia----i
посъласте,3daia----i
же,---------n
сестрѣ,-d---fn--i
его,3s---mg--i
къ,---------n
немоу,3s---md--i
глѭшті,-dppafn-si
гі,-s---mv--i
се,---------n
егоже,-s---mg--i
тъі,2s---mn--i
любіші,2spia----i
болітъ,3spia----i
слъішавъ,-supamn-si
же,---------n
іс,-s---mn--i
рече,3saia----i
сі,-s---fn--i
болѣзнь,-s---fn--i
нѣстъ,3spia----i
къ,---------n
съмръті,-s---fg--i
нъ,---------n
къ,---------n
славѣ,-s---fl--i
бжі,-s---qlpsi
да,---------n
прославітъ,3spia----i
сѧ,3s---qa--i
снъ,-s---mn--i
бжі,-s---mnpsi
еѭ,3s---fi--i
люблѣаше,3siia----i
же,---------n
іс,-s---mn--i
мартѫ,-s---fa--i
і,---------n
сестрѫ,-s---fa--i
еѧ,3s---fg--i
і,---------n
лазарѣ,-s---ml--i
егда,---------n
же,---------n
оуслъіша,3saia----i
ѣко,---------n
болітъ,3spia----i
тогда,---------n
же,---------n
прѣбъістъ,3saia----i
на,---------n
немьже,-s---ol--i
бѣ,3siia----i
мѣстѣ,-s---nl--i
дъва,-d---ma--i
дьні,-d---ma--i
потомь,---------n
же,---------n
гла,3saia----i
оученіком,-p---md--i
ідѣмъ,1ppma----i
въ,---------n
іюдеѭ,-s---fa--i
пакъі,---------n
глашѧ,3paia----i
емоу,3s---md--i
оученіці,-p---mn--i
равві,---------n
нъінѣ,---------n
іскахѫ,3piia----i
тебе,2s---qg--i
каменіемь,-s---ni--i
побіті,--pna----i
іюдеі,-p---mn--i
і,---------n
пакъі,---------n
лі,---------n
ідеші,2spia----i
тамо,---------n
отъвѣшта,3saia----i
іс,-s---mn--i
не,---------n
дъва,-d---ma--i
лі,---------n
на,---------n
десѧте,-s---pl--i
часа,-s---mg--i
есте,2ppia----i
въ,---------n
дьні,-p---ma--i
аште,---------n
къто,-s---qn--i
ходітъ,3spia----i
въ,---------n
дьне,-s---mg--i
не,---------n
потъкнетъ,3spia----i
сѧ,3s---qa--i
ѣко,---------n
свѣтъ,-s---ma--i
міра,-s---mg--i
сего,-s---og--i
відітъ,3spia----i
аште,---------n
лі,---------n
къто,-s---qn--i
ходітъ,3spia----i
ноштіѭ,-s---fi--i
потъкнетъ,3spia----i
сѧ,3s---qa--i
ѣко,---------n
свѣта,-s---mg--i
нѣстъ,3spia----i
о,---------n
немь,3s---ml--i
сі,-p---na--i
рече,3saia----i
і,---------n
по,---------n
семь,-s---nl--i
гла,3saia----i
лазарь,-s---mn--i
дроугъ,-s---mn--i
нашь,1s---mn--i
оусъпе,3saia----i
нъ,---------n
ідѫ,1spia----i
да,---------n
възбоуждѫ,1spia----i
і,---------n
рѣшѧ,3paia----i
же,---------n
оученіці,-p---mn--i
его,3s---mg--i
гі,-s---mv--i
аште,---------n
оусъпе,3saia----i
съпасенъ,-suppmn-si
бѫдетъ,3sfia----i
іс,-s---mn--i
же,---------n
рече,3saia----i
о,---------n
съмръті,-s---fg--i
его,3s---mg--i
оні,-p---mn--i
же,---------n
мьнѣшѧ,3paia----i
ѣко,---------n
о,---------n
оусъпеніі,-s---nl--i
сні,-p---mn--i
і,---------n
съна,-s---mg--i
глетъ,3spia----i
тогда,---------n
рече,3saia----i
імъ,3p---md--i
іс,-s---mn--i
не,---------n
обіноуѧ,-sppamn-si
сѧ,3s---qa--i
лазарь,-s---mn--i
оумьрѣтъ,3saia----i
і,---------n
радоуѭ,1spia----i
сѧ,3s---qa--i
васъ,2p---qg--i
раді,---------n
да,---------n
вѣрѫ,-s---fa--i
імете,2ppia----i
ѣко,---------n
не,---------n
бѣхъ,1siia----i
тоу,---------n
нъ,---------n
ідѣмъ,1ppma----i
къ,---------n
немоу,3s---md--i
рече,3saia----i
же,---------n
тома,-s---mn--i
наріцаемъі,-spppmn-wi
блізньць,-s---mn--i
къ,---------n
оученікомъ,-p---md--i
ідѣмъ,1ppma----i
і,---------n
мъі,1p---qn--i
да,---------n
оумьремъ,1ppia----i
съ,---------n
німь,3s---mi--i
прішьдъ,-supamn-si
же,---------n
іс,-s---mn--i
въ,---------n
вітаніѭ,-s---fa--i
обрѣте,3saia----i
і,3s---ma--i
четъірі,-p---qa--i
дьні,-p---ma--i
імѫшть,-sppama-si
въ,---------n
гробѣ,-s---ml--i
бѣ,3siia----i
же,---------n
вітаніѣ,-s---fn--i
блізъ,---------n
ілма,-s---mg--i
ѣко,---------n
д,---------n
і,---------n
стадіі,-p---mg--i
і,---------n
мнозі,-p---mnpsi
же,---------n
бѣахѫ,3piia----i
прішьлі,-pspamn-si
къ,---------n
мартѣ,-s---fl--i
і,---------n
марі,-p---mi--i
да,---------n
оутѣшѧтъ,3ppia----i
і,3s---ma--i
о,---------n
братѣ,-s---fl--i
ею,3d---mg--i
маръта,-s---fn--i
же,---------n
егда,---------n
оуслъіша,3saia----i
ѣко,---------n
іс,-s---mn--i
грѧдетъ,3spia----i
сърѣте,3saia----i
і,---------n
а,---------n
маріѣ,-s---fn--i
дома,---------n
сѣдѣаше,3siia----i
рече,3saia----i
же,---------n
марта,-s---mg--i
къ,---------n
ісу,-s---md--i
гі,-s---mv--i
аште,---------n
бі,2spsa----i
сьде,---------n
бъілъ,-sspamn-si
не,---------n
бі,3spsa----i
братъ,-s---mn--i
моі,1s---mn--i
оумрълъ,-sspamn-si
нъінѣ,---------n
вѣмь,1spia----i
ѣко,---------n
егоже,-s---mg--i
коліжьдо,---------n
просіші,2spia----i
отъ,---------n
ба,-s---mg--i
дастъ,3spia----i
ті,2s---md--i
бъ,-s---mn--i
гла,3saia----i
еі,3s---fd--i
іс,-s---mn--i
въскръснетъ,3spia----i
братъ,-s---mn--i
твоі,2s---mn--i
гла,3saia----i
емоу,3s---md--i
марта,-s---fn--i
вѣмь,1spia----i
ѣко,---------n
въскръснетъ,3spia----i
въ,---------n
въскрѣшеніе,-s---na--i
въ,---------n
послѣдьні,-s---mapti
дьнь,-s---ma--i
рече,3saia----i
же,---------n
еі,3s---fd--i
іс,-s---mn--i
азъ,1s---qn--i
есмь,1spia----i
въскрѣшеніе,-s---na--i
і,---------n
жівотъ,-s---ma--i
вѣроуѧі,-sppamn-wi
въ,---------n
мѧ,1s---qa--i
аште,---------n
оумьретъ,3spia----i
ожіветъ,3spia----i
і,---------n
всѣкъ,-s---mnpsi
жівъіі,-sppamn-wi
і,---------n
вѣроуѧі,-sppamn-wi
въ,---------n
мѧ,1s---qa--i
не,---------n
оумьретъ,3spia----i
въ,---------n
вѣкъ,-s---ma--i
імеші,2spia----i
лі,---------n
вѣрѫ,-s---fa--i
семоу,-s---nd--i
гла,3saia----i
емоу,3s---md--i
еі,---------n
гі,-s---mv--i
азъ,1s---qn--i
вѣровахъ,1saia----i
ѣко,---------n
тъі,2s---mn--i
есі,2spia----i
хъ,-s---mn--i
снъ,-s---mn--i
бжіі,-s---mnpsi
грѧдѧі,-sppamn-wi
въ,---------n
міръ,-s---ma--i
і,3s---ma--i
се,-s---na--i
рекъші,-supafn-si
іде,3saia----i
і,---------n
прізъва,3saia----i
маріѭ,-s---fa--i
сестрѫ,-s---fa--i
своѭ,3s---fa--i
таі,---------n
і,---------n
рекъші,-supafn-si
еі,3s---fd--i
оучітель,-s---mn--i
се,-s---nn--i
естъ,3spia----i
і,---------n
зоветъ,3spia----i
тѧ,2s---qa--i
она,-s---fn--i
же,---------n
ѣко,---------n
оуслъіша,3saia----i
въста,3saia----i
скоро,-------p-i
і,---------n
іде,3saia----i
къ,---------n
немоу,3s---md--i
не,---------n
бѣ,3siia----i
же,---------n
не,---------n
оу,---------n
іс,-s---mn--i
прішьлъ,-sspamn-si
въ,---------n
вьсь,-s---ma--i
нъ,---------n
бѣ,3siia----i
на,---------n
мѣстѣ,-s---nl--i
еште,---------n
ідеже,---------n
сърѣте,3saia----i
і,3s---ma--i
марта,-s---fn--i
іюдеі,-p---mn--i
же,---------n
сѫштеі,-pppamn-wi
съ,---------n
неѭ,3s---fi--i
въ,---------n
домоу,-s---ml--i
і,---------n
оутѣшаѭште,-pppamn-si
ѭ,3s---fa--i
відѣвъше,-pupamn-si
маріѭ,-s---fa--i
ѣко,---------n
скоро,-------p-i
въста,3saia----i
і,---------n
ізіде,3saia----i
по,---------n
неі,3s---fl--i
ідѫ,3paia----i
глѭште,-pppamn-si
ѣко,---------n
ідетъ,3spia----i
на,---------n
гробъ,-s---ma--i
і,---------n
плачетъ,3spia----i
сѧ,3s---qa--i
тоу,---------n
маріѣ,-s---fn--i
же,---------n
ѣко,---------n
пріде,3saia----i
ідеже,---------n
бѣ,3siia----i
іс,-s---mn--i
відѣвъші,-supafn-si
і,3s---ma--i
паде,3saia----i
емоу,3s---md--i
на,---------n
ногоу,-d---fl--i
глѭшті,-sppafn-si
емоу,3s---md--i
гі,-s---mv--i
аште,---------n
бі,2spsa----i
бъілъ,-sspamn-si
сьде,---------n
не,---------n
бі,3spsa----i
моі,1s---mn--i
братъ,-s---mn--i
оумрълъ,-sspamn-si
іс,-s---mn--i
же,---------n
ѣко,---------n
відѣ,3saia----i
ѭ,3s---fa--i
плачѫштѫ,-sppafa-si
сѧ,3s---qa--i
і,---------n
прішьдъшѧѧ,-pupapa-wi
съ,---------n
неѭ,3s---fi--i
іюдеѭ,-s---fa--i
плачѫштѧ,-pppama-si
сѧ,3s---qa--i
запрѣті,3saia----i
доухоу,-s---md--i
і,---------n
възмѫті,3saia----i
сѧ,3s---qa--i
самъ,-s---mn--i
і,---------n
рече,3saia----i
къде,---------n
положісте,2paia----i
і,3s---ma--i
глашѧ,3paia----i
емоу,3s---md--i
гі,-s---mv--i
грѧді,2spma----i
і,---------n
віждь,2spma----i
і,---------n
просльзі,2spma----i
сѧ,3s---qa--i
іс,-s---mn--i
глахѫ,3piia----i
же,---------n
іюдеі,-p---mn--i
віждь,2spma----i
како,---------n
люблѣаше,3siia----i
і,---------n
етеріі,-p---mn--i
же,---------n
отъ,---------n
ніхъ,3p---mg--i
рѣшѧ,3paia----i
не,---------n
можааше,3siia----i
лі,---------n
сь,-s---mn--i
отвръзъі,-supamn-wi
очі,-d---na--i
слѣпоуемоу,-s---mdpwi
сътворіті,--pna----i
да,---------n
і,---------n
сь,-s---mn--i
не,---------n
оумьретъ,3spia----i
іс,-s---mn--i
же,---------n
пакъі,---------n
прѣтѧ,-sppamn-si
вь,---------n
себѣ,3s---ql--i
пріде,3saia----i
къ,---------n
гробоу,-s---md--i
бѣ,3siia----i
же,---------n
пешть,-s---fa--i
і,---------n
камень,-s---ma--i
належааше,3siia----i
на,---------n
неі,3s---fl--i
гла,3saia----i
іс,-s---mn--i
възъмѣте,2ppma----i
камень,-s---ma--i
гла,3saia----i
емоу,3s---md--i
сестра,-s---fn--i
оумьръшаего,-supamg-wi
марта,-s---fn--i
гі,-s---mv--i
юже,---------n
смръдітъ,3spia----i
четврѣдьневьнъ,-s---mnpsi
бо,---------n
естъ,3spia----i
гла,3saia----i
еі,3s---fd--i
іс,-s---mn--i
не,---------n
рѣхъ,1saia----i
лі,---------n
ті,2s---md--i
ѣко,---------n
аште,---------n
вѣроуеші,2spia----i
оузьріші,2spia----i
славѫ,-s---fa--i
бжіѭ,-s---fapsi
вьзѧсѧ,3paia----i
же,---------n
камень,-s---ma--i
іс,-s---mn--i
же,---------n
вьзведе,3saia----i
очі,-d---na--i
въіспрь,---------n
і,---------n
рече,3saia----i
оче,-s---mv--i
хвалѫ,-s---fa--i
тебѣ,2s---qd--i
въздаѭ,1spia----i
ѣко,---------n
оуслъіша,2saia----i
мѧ,1s---qa--i
азъ,1s---qn--i
вѣдѣахъ,1siia----i
ѣко,---------n
вьсегда,---------n
мене,1s---mg--i
послоушаеші,2spia----i
нъ,---------n
народа,-s---mg--i
раді,---------n
стоѧштаего,-s---mgpwi
окръстъ,---------n
рѣхъ,1saia----i
да,---------n
вѣрѫ,-s---fa--i
імѫтъ,3ppia----i
ѣко,---------n
тъі,2s---qn--i
мѧ,1s---qa--i
посъла,2saia----i
і,---------n
се,-s---na--i
рекъ,-supamn-si
гласомь,-s---mi--i
веліемь,-s---oipsi
възгласі,3saia----i
лазоре,-s---mv--i
грѧді,2spma----i
вънъ,---------n
і,---------n
абіе,---------n
ізіде,3saia----i
оумьръі,-supamn-wi
обѧзанъ,-suppmn-si
ногама,-d---fi--i
і,---------n
рѫкама,-d---fi--i
оукроемь,-s---mi--i
і,---------n
ліце,-s---nn--i
его,3s---mg--i
обѧзано,-suppnn-si
оуброусомь,-s---mi--i
гла,3saia----i
імъ,3p---md--i
іс,-s---mn--i
раздрѣшіте,2ppma----i
і,3s---ma--i
і,---------n
не,---------n
дѣіте,2ppma----i
его,3s---mg--i
іті,--pna----i
мнозі,-p---mnpsi
же,---------n
отъ,---------n
іюдѣі,-p---mn--i
прішьдъшеі,-pupamn-wi
къ,---------n
маріі,-s---fd--i
відѣвъше,-pupamn-si
еже,-s---na--i
сътворі,3saia----i
іс,-s---mn--i
вѣровашѧ,3paia----i
вь,---------n
него,3s---mg--i
етері,-p---mn--i
же,---------n
отъ,---------n
ніхъ,3p---mg--i
ідѫ,3paia----i
къ,---------n
фарісѣомъ,-p---md--i
і,---------n
рѣшѧ,3paia----i
імъ,3p---md--i
еже,-s---na--i
сътворірі,-p---mn--i
іс,---------n
събърашѧ,3paia----i
же,---------n
архіереі,-p---mn--i
і,---------n
фарісѣі,-p---mn--i
съборъ,-s---ma--i
і,---------n
глаахѫ,3piia----i
чьто,-s---na--i
сътворімъ,1ppia----i
ѣко,---------n
чкъ,-s---mn--i
сь,-s---mn--i
знаменіѣ,-p---na--i
многа,-p---napsi
творітъ,3spia----i
аште,---------n
оставімъ,1ppia----i
і,---------n
тако,---------n
вьсі,-p---mn--i
вѣрѫ,-s---fa--i
імѫтъ,3ppia----i
въ,---------n
нь,3s---ma--i
і,---------n
прідѫтъ,3ppia----i
рімлѣне,-p---mn--i
і,---------n
възъмѫтъ,3ppia----i
і,---------n
мѣсто,-s---na--i
ѧзъікъ,-s---mn--i
едінъ,-s---mn--i
же,---------n
отъ,---------n
ніхъ,3p---mg--i
каіафа,-s---mn--i
архіереі,-s---mn--i
съі,-sppaon-si
лѣтоу,-s---nd--i
томоу,-s---od--i
рече,3saia----i
імъ,3p---md--i
въі,2p---qn--i
не,---------n
вѣсте,2ppia----i
нічесоже,-s---ng--i
ні,---------n
помъішлѣете,2ppia----i
ѣко,---------n
добрѣе,-s---nncti
естъ,3spia----i
вамъ,2p---qd--i
да,---------n
едінъ,-s---mn--i
чкъ,-s---mn--i
оумьретъ,3spia----i
за,---------n
люді,-p---ma--i
а,---------n
не,---------n
вьсь,-s---ma--i
ѧзъікъ,-s---ma--i
погъібнетъ,3spia----i
сего,-s---ng--i
же,---------n
о,---------n
себѣ,3s---ql--i
не,---------n
рече,3saia----i
нъ,---------n
архіереі,-s---mn--i
съі,-sppaon-si
лѣтоу,-s---nd--i
томоу,-s---od--i
прорече,3saia----i
ѣко,---------n
хотѣаше,3siia----i
іс,-s---mn--i
оумьрѣті,--pna----i
за,---------n
люді,-p---ma--i
і,---------n
не,---------n
тъкъмо,---------n
за,---------n
люді,-p---ma--i
нъ,---------n
і,---------n
да,---------n
чѧда,-p---na--i
бжіѣ,-p---napsi
съберетъ,3spia----i
расточенаа,-suppfn-wi
въ,---------n
едіно,-s---na--i
отъ,---------n
того,-s---mg--i
же,---------n
дьне,-s---mg--i
съвѣшташѧ,3paia----i
да,---------n
і,3s---ma--i
бѫ,3ppsa----i
оубілі,-pspamn-si
іс,-s---mn--i
же,---------n
къ,---------n
томоу,-s---nd--i
не,---------n
ѣвѣ,---------n
хождааше,3siia----i
въ,---------n
іюдеіхъ,-p---ml--i
нъ,---------n
іде,3saia----i
отътѫдоу,---------n
въ,---------n
странѫ,-s---fa--i
блізъ,---------n
въ,---------n
поустъіні,-s---fl--i
въ,---------n
ефреомъ,-p---md--i
наріцаемъ,-spppma-si
градъ,-s---ma--i
і,---------n
тоу,---------n
жівѣаше,3siia----i
съ,---------n
оученікъі,-p---mi--i
своімі,3p---qi--i
бѣ,3siia----i
же,---------n
блізъ,---------n
пасха,-s---fn--i
іюдеіска,-s---fnpsi
і,---------n
вьзідѫ,3paia----i
мнозі,-p---mnpsi
въ,---------n
ілмъ,-s---ma--i
отъ,---------n
странъі,-s---fg--i
прѣжде,---------n
пасхъі,-s---fg--i
да,---------n
очістѧтъ,3ppia----i
сѧ,3s---qa--i
і,---------n
іскахѫ,3piia----i
же,---------n
іса,-s---mg--i
і,---------n
глахѫ,3piia----i
къ,---------n
себѣ,3s---qd--i
въ,---------n
цръкъве,-s---fl--i
стоѧште,-pppamn-si
чьто,-s---nn--i
сѧ,3s---qa--i
мьнітъ,3spia----i
вамъ,2p---qd--i
ѣко,---------n
не,---------n
іматъ,3spia----i
лі,---------n
пріті,--pna----i
въ,---------n
праздьнікъ,-s---ma--i
дашѧ,3paia----i
бо,---------n
архіереі,-p---mn--i
і,---------n
фарісѣі,-p---mn--i
заповѣдь,-s---fa--i
да,---------n
аште,---------n
къто,-s---qn--i
оштоутітъ,3spia----i
і,---------n
къде,---------n
бѫдетъ,3sfia----i
повѣсте,2ppia----i
да,---------n
імѫтъ,3ppia----i
і,---------n
іс,-s---mn--i
же,---------n
прѣжде,---------n
шесті,-s---fl--i
дьнъ,-p---mg--i
пасхъі,-s---fg--i
пріде,3saia----i
въ,---------n
вітаніѭ,-s---fa--i
ідеже,---------n
бѣ,3siia----i
лазарь,-s---mn--i
оумьръі,-s---mnpwi
егоже,-s---mg--i
въскрѣсі,3saia----i
отъ,---------n
мрътвъіхъ,-p---mgpwi
іс,-s---mn--i
сътворішѧ,3paia----i
же,---------n
емоу,3s---md--i
вечерѫ,-s---fa--i
тоу,---------n
і,---------n
марта,-s---mg--i
слоужааше,3siia----i
лазарь,-s---mn--i
же,---------n
едінъ,-s---mn--i
бѣ,3siia----i
отъ,---------n
вьзлежѧштіхъ,-pppamg-wi
съ,---------n
німь,3s---mi--i
маріѣ,-s---fn--i
же,---------n
пріімъші,-dupana-si
ліврѫ,1spia----i
хрізмъі,-s---fg--i
нарда,-s---mg--i
пістікіѧ,-s---fg--i
многоцѣннъі,-s---fgpsi
помаза,3saia----i
нозѣ,-d---fa--i
ісвѣ,-d---rapsi
і,---------n
отръ,3saia----i
власъі,-p---mi--i
своімі,3p---qi--i
нозѣ,-d---fa--i
его,3s---mg--i
храміна,-s---fn--i
же,---------n
ісплъні,3saia----i
сѧ,3s---qa--i
отъ,---------n
вонѧ,-s---fg--i
хрізмьнъіѧ,-s---fgpwi
гла,3saia----i
же,---------n
едінъ,-s---mn--i
отъ,---------n
оученікъ,-p---mg--i
его,3s---mg--i
іюда,-s---mn--i
сімонъ,-s---mn--i
іскаріотьскъі,-s---mnpwi
іже,-s---mn--i
і,---------n
хотѣаше,3siia----i
прѣдаті,--pna----i
чесо,-s---ng--i
раді,---------n
хрізма,-s---fn--i
сі,-s---fn--i
не,---------n
продана,-suppfn-si
бъістъ,3saia----i
на,---------n
трьхъ,-p---ml--i
сътѣхъ,-p---ml--i
пѣнѧзь,-p---mg--i
і,---------n
дана,-suppfn-si
ніштімъ,-p---pdpwi
се,---------n
же,---------n
рече,3saia----i
не,---------n
ѣко,---------n
о,---------n
ніштіхъ,-p---nl--i
печааше,3siia----i
сѧ,3s---qa--i
нъ,---------n
ѣко,---------n
тать,-s---mn--i
бѣ,3siia----i
і,---------n
ковьчежьць,-p---mg--i
імъі,-sppamn-si
і,---------n
въметаемаа,-p---napwi
ношааше,3siia----i
рече,3saia----i
же,---------n
іс,-s---mn--i
не,---------n
дѣі,2spma----i
еѧ,3s---fg--i
да,---------n
вь,---------n
дьнь,-s---ma--i
погребеніѣ,-s---ng--i
моего,1s---ng--i
съблюдетъ,3spia----i
ѭ,3s---fa--i
ніштѧѧ,-p---mapwi
бо,---------n
вьсегда,---------n
съ,---------n
собоѭ,3s---qi--i
імате,2ppia----i
а,---------n
мене,1s---qg--i
не,---------n
вьсегда,---------n
імате,2ppia----i
разоумѣ,3saia----i
же,---------n
народъ,-s---mn--i
многъ,-s---mnpsi
отъ,---------n
іюдеі,-p---mn--i
ѣко,---------n
тоу,---------n
естъ,3spia----i
і,---------n
прідѫ,3paia----i
не,---------n
іса,-s---mg--i
раді,---------n
тъкъмо,---------n
нъ,---------n
да,---------n
і,---------n
лазарѣ,-s---mg--i
відѧтъ,3ppia----i
егоже,-s---mg--i
въскрѣсі,3saia----i
отъ,---------n
мрътвъіхъ,-p---mgpwi
съвѣшташѧ,3paia----i
же,---------n
архіереі,-p---mn--i
до,---------n
і,---------n
лазарѣ,-s---ml--i
оубіѭтъ,3ppia----i
ѣко,---------n
мнозі,-p---mnpsi
его,3s---mg--i
раді,---------n
ідѣахѫ,3piia----i
іюдѣі,-p---mn--i
і,---------n
вѣровахѫ,3piia----i
въ,---------n
іса,-s---mg--i
въ,---------n
оутрѣі,-s---mapti
же,---------n
дьнь,-s---ma--i
народъ,-s---mn--i
многъ,-s---mnpsi
прішьдъі,-s---fg--i
въ,---------n
праздьнікъ,-s---ma--i
слъішавъше,-pupamn-si
ѣко,---------n
іс,-s---mn--i
грѧдетъ,3spia----i
въ,---------n
ілмъ,-s---ma--i
пріѧшѧ,3paia----i
ваі,2spma----i
отъ,---------n
фінікъ,-p---mg--i
і,---------n
ізідѫ,3paia----i
протівѫ,---------n
емоу,3s---md--i
і,---------n
зъваахѫ,3piia----i
глѭште,-pppamn-si
осанна,---------n
благословенъ,-s---mnpsi
грѧдѧі,-sppamn-wi
въ,---------n
імѧ,-s---na--i
гне,-s---napsi
црь,-s---mn--i
іздраілевъ,-s---mnpsi
обрѣте,3saia----i
же,---------n
іс,-s---mn--i
осьлѧ,-s---na--i
вьсѣде,3saia----i
на,---------n
не,---------n
ѣкоже,---------n
естъ,3spia----i
псано,-suppnn-si
не,---------n
боі,2spma----i
сѧ,3s---qa--i
дъшті,-s---fv--i
сіонова,-s---fvpsi
се,---------n
црь,-s---mn--i
твоі,2s---mn--i
грѧдетъ,3spia----i
сѣдѧ,-sppamn-si
на,---------n
жрѣбѧте,-s---nl--i
осълі,-s---qlpsi
сіхъ,-p---ng--i
же,---------n
не,---------n
разоумѣшѧ,3paia----i
оученіці,-p---mn--i
его,3s---mg--i
прѣжде,---------n
нъ,---------n
егда,---------n
прославітъ,3spia----i
сѧ,3s---qa--i
іс,-s---mn--i
тогда,---------n
помѣнѫшѧ,3paia----i
ѣко,---------n
сі,-p---nn--i
бѣшѧ,3piia----i
о,---------n
немь,3s---ml--i
псана,-puppnn-si
і,---------n
сі,-p---na--i
сътворішѧ,3paia----i
емоу,3s---md--i
съвѣдѣтельствовааше,3siia----i
народъ,-s---mn--i
іже,-s---mn--i
бѣ,3siia----i
съ,---------n
німь,3s---mi--i
егда,---------n
лазарѣ,-s---ml--i
възгласі,3saia----i
отъ,---------n
гроба,-s---mg--i
і,---------n
въскрѣсі,3saia----i
его,3s---mg--i
отъ,---------n
мрътвъіхъ,-p---mgpwi
сего,-s---ng--i
раді,---------n
і,---------n
протівѫ,---------n
ізіде,3saia----i
емоу,3s---md--i
народъ,-s---mn--i
ѣко,---------n
слъішашѧ,3paia----i
сътворьша,-dupamn-si
знаменіѣ,-s---ng--i
фарісѣі,-p---mg--i
же,---------n
рѣшѧ,3paia----i
къ,---------n
себѣ,3s---ql--i
відіте,2ppia----i
ѣко,---------n
нікааже,3siia----i
польза,-s---fn--i
естъ,3spia----i
се,---------n
вьсь,-s---ma--i
міръ,-s---ma--i
по,---------n
немь,3s---ml--i
іде,3saia----i
бѣахѫ,3piia----i
же,---------n
елліні,-p---mn--i
етері,-p---mn--i
отъ,---------n
въшьдъшіхъ,-pupamg-wi
да,---------n
поклонѧтъ,3ppia----i
сѧ,3s---qa--i
въ,---------n
праздьнікъ,-s---ma--i
сіі,-p---mn--i
же,---------n
прістѫпішѧ,3paia----i
къ,---------n
філіпоу,-s---md--i
іже,-s---mn--i
бѣ,3siia----i
отъ,---------n
відъсаідъі,-s---fg--i
галілѣіскъіѧ,-s---fgpwi
і,---------n
молѣахѫ,3piia----i
і,3s---ma--i
глѭште,-pppamn-si
гі,-s---mv--i
хоштемъ,1ppia----i
іса,-s---mg--i
відѣті,--pna----i
пріде,3saia----i
філіппъ,-s---mn--i
і,---------n
гла,3saia----i
аньдрѣові,-s---md--i
і,---------n
пакъі,---------n
андрѣа,-s---mn--i
і,---------n
філіпъ,-s---mn--i
гласте,3daia----i
ісві,-s---md--i
іс,-s---mn--i
же,---------n
отъвѣшта,3saia----i
іма,3d---md--i
глѧ,-sppamn-si
пріде,3saia----i
часъ,-s---ma--i
да,---------n
прославітъ,3spia----i
сѧ,3s---qa--i
снъ,-s---mn--i
чскъі,-s---mnpwi
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
аште,---------n
зръно,-s---na--i
пьшеньно,-s---napsi
не,---------n
оумьретъ,3spia----i
падъ,-supann-si
въ,---------n
землі,-s---fl--i
то,-s---nn--i
едіно,-s---nn--i
прѣбъіваетъ,3spia----i
аште,---------n
лі,---------n
оумьретъ,3spia----i
многъ,-s---mapsi
плодъ,-s---ma--i
сътворітъ,3spia----i
любѧі,-sppamn-wi
дшѫ,-s---fa--i
