lemma|match|vr_lev|vr_status|CSR|CSR_form|imperative|question|HE response||pos
наслѣдьникъ|наследник|0.2727272727||||||||Nb
прискърбьныи|прискорбный|||||||||A-
пьшеничьныи|пшеничный|||||||||A-
скоромьныи|скоромный|0.2||||||||A-
шапъка|шапка|0.1666666667||||||||Nb
отънести|отнести|0.125||||||||V-
примълвити|примолвить|0.6||||||||V-
съчисти|счесть|0.5555555556||||||||V-
хъмель|хмель|0.1666666667||||||||Nb
пъртити|портить|0.2857142857||||||||V-
бѣлъка|белка|0.3333333333||||||||Nb
запасьныи|запасной, запасный|0.3||||||||A-
почька|почка|0.1666666667||||||||Nb
ячьныи|ячный|0.5714285714||||||||A-
толокъно|толокно|0.125||||||||Nb
мърсъ|морс|0.4||||||||Nb
бережьныи|бережный|0.6666666667||||||||A-
сѣньница|сенница|0.8148148148||||||||Nb
отъставити|отставить|0.2||||||||V-
вънутрь|внутрь|||||||||Df
грѣховьныи|греховный|0.6||||||||A-
тъкъмо|токмо|||||||||Df
одьрати|ободрать|0.5|||||skip?|we can leave it in||V-
довьлѣти|довлеть|0.875||||||||V-
ручии|ручей|||||||||Nb
вьсюду|всюду|0.1666666667||||||||Df
прибрести|прибрести|0.68||||||||V-
въсуе|всуе|0.5714285714||||||||Df
отъпущати|отпущать|0.4444444444|||||vernacular or CS. Choose отпускать? South/East|not so much South/East as a different suffix? I think we should have отпущать or nothing|ok|V-
монастырьскыи|монастырский|0.2307692308||||||||A-
съѣхати|съехать|||||||||V-
съвыше|свыше|0.1666666667||||||||Df
издавьна|издавна|0.125||||||||Df
отъписати|отписать|||||||||V-
цвьсти|цвести|0.1666666667||||||||V-
въспрянути|воспрянуть|0.8||||||||V-
съхраняти|сохранять|||||||||V-
посъланьникъ|посланник|0.25||||||||Nb
безвѣрьныи|безверный|0.5||||||||A-
проповѣдьникъ|проповедник|||||||||Nb
плачевьныи|плачевный|||||||||A-
тълковати|толковать|0.2222222222||||||||V-
диявольскыи|дьявольский|0.2727272727||||||||A-
съпьрва|сперва|0.2857142857||||||||Df
съединити|соединить|0.6111111111||||||||V-
пафнутьевъ|Пафнутьев|0.2||||||||A-
оскърбити|оскорбить|0.6666666667||||||||V-
прилежьныи|прилежный|||||||||A-
начальныи|начальный|||||||||A-
подълиньныи|подлинный|||||||||A-
денежьныи|денежный|||||||||A-
съмѣсити|смесить|||||||||V-
брачьныи|брачный|0.25||||||||A-
вьсьма|весьма|1||||||||Df
тържьство|торжество|||||||||Nb
мъногажьды|многажды|||||||||Df
египьтянинъ|египтянин|0.1818181818||||||||Nb
проклятие|проклятие|||||||||Nb
тамъга|тамга|0.7777777778|||||same word, right? Did it really have a yer? It's a borrowing|||Nb
кърсунянинъ|корсунянин|0.1818181818||||||||Nb
прѣдълагати|предлагать|||||||||V-
бьсиръ|бисер|1|||||skip?|||Nb
господьнии|господний|||||||||A-
мужьскы|мужески|0.6363636364||||||||Df
тучьныи|тучный|||||||||A-
съхоронити|схоронить|||||||||V-
благоразумьныи|благоразумный|0.7142857143||||||||A-
отъврести|отверзть||||||South/East|||V-
отъврещи|отверзть||||||South/East|||V-
прозьрѣние|прозрение|||||||||Nb
маньна|манна|0.1666666667||||||||Nb
възвѣщение|возвещение|0.5||||||||Nb
хрьбьтъ|хребет|0.4285714286||||||||Nb
исхожение|исхождение|0.5555555556|||||South/East|||Nb
тьля|тля|||||||||Nb
гридьница|гридница|0.1111111111||||||||Nb
безначальныи|безначальный|0.0833333333||||||||A-
